fecha_hora,valor_sensor,voltaje
2024-10-16 22:32:14,150,0.12
2024-10-16 22:32:15,161,0.13
2024-10-16 22:32:16,150,0.12
2024-10-16 22:32:18,161,0.13
2024-10-16 22:32:19,154,0.12
2024-10-16 22:32:20,160,0.13
2024-10-16 22:32:21,160,0.13
2024-10-16 22:32:23,160,0.13
2024-10-16 22:32:24,160,0.13
2024-10-16 22:32:25,155,0.12
2024-10-16 22:32:26,156,0.13
2024-10-16 22:32:28,155,0.12
2024-10-16 22:32:29,157,0.13
2024-10-16 22:32:30,162,0.13
2024-10-16 22:32:31,164,0.13
2024-10-16 22:32:33,157,0.13
2024-10-16 22:32:34,155,0.12
2024-10-16 22:32:35,159,0.13
2024-10-16 22:32:36,157,0.13
2024-10-16 22:32:38,160,0.13
2024-10-16 22:32:39,160,0.13
2024-10-16 22:32:40,163,0.13
2024-10-16 22:32:42,152,0.12
2024-10-16 22:32:43,163,0.13
2024-10-16 22:32:44,162,0.13
2024-10-16 22:32:45,169,0.14
2024-10-16 22:32:46,170,0.14
2024-10-16 22:32:48,155,0.12
2024-10-16 22:32:49,158,0.13
2024-10-16 22:32:50,148,0.12
2024-10-16 22:32:52,163,0.13
2024-10-16 22:32:53,156,0.13
2024-10-16 22:32:54,155,0.12
2024-10-16 22:32:55,160,0.13
2024-10-16 22:32:57,159,0.13
2024-10-16 22:32:58,152,0.12
2024-10-16 22:32:59,160,0.13
2024-10-16 22:33:00,149,0.12
2024-10-16 22:33:01,154,0.12
2024-10-16 22:33:03,161,0.13
2024-10-16 22:33:04,157,0.13
2024-10-16 22:33:05,167,0.13
2024-10-16 22:33:07,153,0.12
2024-10-16 22:33:08,160,0.13
2024-10-16 22:33:09,154,0.12
2024-10-16 22:33:10,157,0.13
2024-10-16 22:33:12,159,0.13
2024-10-16 22:33:13,155,0.12
2024-10-16 22:33:14,159,0.13
2024-10-16 22:33:15,163,0.13
2024-10-16 22:33:17,165,0.13
2024-10-16 22:33:18,164,0.13
2024-10-16 22:33:19,158,0.13
2024-10-16 22:33:20,163,0.13
2024-10-16 22:33:22,154,0.12
2024-10-16 22:33:23,162,0.13
2024-10-16 22:33:24,158,0.13
2024-10-16 22:33:25,162,0.13
2024-10-16 22:33:27,162,0.13
2024-10-16 22:33:28,160,0.13
2024-10-16 22:33:29,159,0.13
2024-10-16 22:33:30,159,0.13
2024-10-16 22:33:32,176,0.14
2024-10-16 22:33:33,167,0.13
2024-10-16 22:33:34,172,0.14
2024-10-16 22:33:35,160,0.13
2024-10-16 22:33:37,159,0.13
2024-10-16 22:33:38,167,0.13
2024-10-16 22:33:39,157,0.13
2024-10-16 22:33:40,166,0.13
2024-10-16 22:33:42,156,0.13
2024-10-16 22:33:43,170,0.14
2024-10-16 22:33:44,161,0.13
2024-10-16 22:33:45,172,0.14
2024-10-16 22:33:47,171,0.14
2024-10-16 22:33:48,173,0.14
2024-10-16 22:33:49,157,0.13
2024-10-16 22:33:50,154,0.12
2024-10-16 22:33:52,162,0.13
2024-10-16 22:33:53,161,0.13
2024-10-16 22:33:54,150,0.12
2024-10-16 22:33:55,165,0.13
2024-10-16 22:33:57,163,0.13
2024-10-16 22:33:58,160,0.13
2024-10-16 22:33:59,161,0.13
2024-10-16 22:34:00,172,0.14
2024-10-16 22:34:02,165,0.13
2024-10-16 22:34:03,166,0.13
2024-10-16 22:34:04,161,0.13
2024-10-16 22:34:05,161,0.13
2024-10-16 22:34:07,166,0.13
2024-10-16 22:34:08,167,0.13
2024-10-16 22:34:09,160,0.13
2024-10-16 22:34:10,164,0.13
2024-10-16 22:34:12,167,0.13
2024-10-16 22:34:13,166,0.13
2024-10-16 22:34:14,172,0.14
2024-10-16 22:34:15,162,0.13
2024-10-16 22:34:17,164,0.13
2024-10-16 22:34:18,167,0.13
2024-10-16 22:34:19,169,0.14
2024-10-16 22:34:20,178,0.14
2024-10-16 22:34:22,162,0.13
2024-10-16 22:34:23,171,0.14
2024-10-16 22:34:24,164,0.13
2024-10-16 22:34:25,173,0.14
2024-10-16 22:34:27,173,0.14
2024-10-16 22:34:28,160,0.13
2024-10-16 22:34:29,170,0.14
2024-10-16 22:34:30,167,0.13
2024-10-16 22:34:32,174,0.14
2024-10-16 22:34:33,160,0.13
2024-10-16 22:34:34,165,0.13
2024-10-16 22:34:35,164,0.13
2024-10-16 22:34:37,162,0.13
2024-10-16 22:34:38,169,0.14
2024-10-16 22:34:39,172,0.14
2024-10-16 22:34:40,169,0.14
2024-10-16 22:34:42,161,0.13
2024-10-16 22:34:43,166,0.13
2024-10-16 22:34:44,169,0.14
2024-10-16 22:34:45,160,0.13
2024-10-16 22:34:47,176,0.14
2024-10-16 22:34:48,162,0.13
2024-10-16 22:34:50,162,0.13
2024-10-16 22:34:52,174,0.14
2024-10-16 22:34:53,165,0.13
2024-10-16 22:34:54,165,0.13
2024-10-16 22:34:56,166,0.13
2024-10-16 22:34:57,166,0.13
2024-10-16 22:34:58,160,0.13
2024-10-16 22:34:59,174,0.14
2024-10-16 22:35:01,159,0.13
2024-10-16 22:35:02,166,0.13
2024-10-16 22:35:03,166,0.13
2024-10-16 22:35:04,161,0.13
2024-10-16 22:35:06,167,0.13
2024-10-16 22:35:07,164,0.13
2024-10-16 22:35:08,161,0.13
2024-10-16 22:35:09,169,0.14
2024-10-16 22:35:11,157,0.13
2024-10-16 22:35:12,167,0.13
2024-10-16 22:35:13,163,0.13
2024-10-16 22:35:14,163,0.13
2024-10-16 22:35:16,173,0.14
2024-10-16 22:35:17,176,0.14
2024-10-16 22:35:18,170,0.14
2024-10-16 22:35:19,162,0.13
2024-10-16 22:35:21,176,0.14
2024-10-16 22:35:22,170,0.14
2024-10-16 22:35:23,159,0.13
2024-10-16 22:35:24,176,0.14
2024-10-16 22:35:26,161,0.13
2024-10-16 22:35:27,168,0.14
2024-10-16 22:35:28,157,0.13
2024-10-16 22:35:29,157,0.13
2024-10-16 22:35:31,162,0.13
2024-10-16 22:35:32,163,0.13
2024-10-16 22:35:33,163,0.13
2024-10-16 22:35:34,169,0.14
2024-10-16 22:35:36,165,0.13
2024-10-16 22:35:37,161,0.13
2024-10-16 22:35:38,166,0.13
2024-10-16 22:35:39,164,0.13
2024-10-16 22:35:41,162,0.13
2024-10-16 22:35:42,173,0.14
2024-10-16 22:35:43,160,0.13
2024-10-16 22:35:44,169,0.14
2024-10-16 22:35:46,158,0.13
2024-10-16 22:35:47,157,0.13
2024-10-16 22:35:48,166,0.13
2024-10-16 22:35:49,166,0.13
2024-10-16 22:35:51,161,0.13
2024-10-16 22:35:52,170,0.14
2024-10-16 22:35:53,169,0.14
2024-10-16 22:35:54,161,0.13
2024-10-16 22:35:56,159,0.13
2024-10-16 22:35:57,159,0.13
2024-10-16 22:35:58,158,0.13
2024-10-16 22:35:59,171,0.14
2024-10-16 22:36:01,157,0.13
2024-10-16 22:36:02,163,0.13
2024-10-16 22:36:03,153,0.12
2024-10-16 22:36:04,160,0.13
2024-10-16 22:36:06,162,0.13
2024-10-16 22:36:07,173,0.14
2024-10-16 22:36:08,170,0.14
2024-10-16 22:36:09,171,0.14
2024-10-16 22:36:11,172,0.14
2024-10-16 22:36:12,161,0.13
2024-10-16 22:36:13,163,0.13
2024-10-16 22:36:14,161,0.13
2024-10-16 22:36:16,167,0.13
2024-10-16 22:36:17,164,0.13
2024-10-16 22:36:18,162,0.13
2024-10-16 22:36:19,169,0.14
2024-10-16 22:36:21,161,0.13
2024-10-16 22:36:22,163,0.13
2024-10-16 22:36:23,163,0.13
2024-10-16 22:36:24,166,0.13
2024-10-16 22:36:26,161,0.13
2024-10-16 22:36:27,160,0.13
2024-10-16 22:36:28,161,0.13
2024-10-16 22:36:29,161,0.13
2024-10-16 22:36:31,166,0.13
2024-10-16 22:36:32,161,0.13
2024-10-16 22:36:33,159,0.13
2024-10-16 22:36:34,165,0.13
2024-10-16 22:36:36,164,0.13
2024-10-16 22:36:37,159,0.13
2024-10-16 22:36:38,163,0.13
2024-10-16 22:36:39,167,0.13
2024-10-16 22:36:41,168,0.14
2024-10-16 22:36:42,166,0.13
2024-10-16 22:36:43,160,0.13
2024-10-16 22:36:44,170,0.14
2024-10-16 22:36:46,159,0.13
2024-10-16 22:36:47,165,0.13
2024-10-16 22:36:48,166,0.13
2024-10-16 22:36:49,165,0.13
2024-10-16 22:36:51,157,0.13
2024-10-16 22:36:52,158,0.13
2024-10-16 22:36:53,160,0.13
2024-10-16 22:36:55,160,0.13
2024-10-16 22:36:56,161,0.13
2024-10-16 22:36:57,166,0.13
2024-10-16 22:36:58,170,0.14
2024-10-16 22:37:00,167,0.13
2024-10-16 22:37:01,171,0.14
2024-10-16 22:37:02,167,0.13
2024-10-16 22:37:03,163,0.13
2024-10-16 22:37:05,167,0.13
2024-10-16 22:37:06,166,0.13
2024-10-16 22:37:07,169,0.14
2024-10-16 22:37:08,170,0.14
2024-10-16 22:37:10,171,0.14
2024-10-16 22:37:11,170,0.14
