valor_analogico,voltaje,calidad_aire
92,0.07,Excelente
96,0.08,Excelente
98,0.08,Excelente
103,0.08,Excelente
106,0.09,Excelente
85,0.07,Excelente
93,0.07,Excelente
113,0.09,Excelente
96,0.08,Excelente
109,0.09,Excelente
111,0.09,Excelente
122,0.1,Excelente
121,0.1,Excelente
109,0.09,Excelente
97,0.08,Excelente
113,0.09,Excelente
91,0.07,Excelente
95,0.08,Excelente
117,0.09,Excelente
85,0.07,Excelente
98,0.08,Excelente
102,0.08,Excelente
105,0.08,Excelente
95,0.08,Excelente
112,0.09,Excelente
112,0.09,Excelente
91,0.07,Excelente
103,0.08,Excelente
98,0.08,Excelente
103,0.08,Excelente
106,0.09,Excelente
128,0.1,Excelente
112,0.09,Excelente
113,0.09,Excelente
93,0.07,Excelente
113,0.09,Excelente
92,0.07,Excelente
106,0.09,Excelente
128,0.1,Excelente
124,0.1,Excelente
110,0.09,Excelente
115,0.09,Excelente
98,0.08,Excelente
119,0.1,Excelente
95,0.08,Excelente
93,0.07,Excelente
97,0.08,Excelente
123,0.1,Excelente
91,0.07,Excelente
112,0.09,Excelente
80,0.06,Excelente
115,0.09,Excelente
106,0.09,Excelente
97,0.08,Excelente
110,0.09,Excelente
105,0.08,Excelente
100,0.08,Excelente
66,0.05,Excelente
126,0.1,Excelente
123,0.1,Excelente
113,0.09,Excelente
106,0.09,Excelente
82,0.07,Excelente
93,0.07,Excelente
99,0.08,Excelente
107,0.09,Excelente
84,0.07,Excelente
91,0.07,Excelente
144,0.12,Excelente
136,0.11,Excelente
135,0.11,Excelente
37,0.03,Excelente
67,0.05,Excelente
18,0.01,Excelente
16,0.01,Excelente
16,0.01,Excelente
4,0.0,Excelente
16,0.01,Excelente
26,0.02,Excelente
30,0.02,Excelente
25,0.02,Excelente
23,0.02,Excelente
16,0.01,Excelente
22,0.02,Excelente
26,0.02,Excelente
19,0.02,Excelente
31,0.02,Excelente
34,0.03,Excelente
27,0.02,Excelente
22,0.02,Excelente
27,0.02,Excelente
29,0.02,Excelente
34,0.03,Excelente
21,0.02,Excelente
20,0.02,Excelente
37,0.03,Excelente
48,0.04,Excelente
33,0.03,Excelente
37,0.03,Excelente
39,0.03,Excelente
34,0.03,Excelente
43,0.03,Excelente
44,0.04,Excelente
42,0.03,Excelente
38,0.03,Excelente
26,0.02,Excelente
43,0.03,Excelente
45,0.04,Excelente
